Condition,GPT,Claude,Gemini,DeepSeek,Mistral,Gemma,Macro-average
No age given,4.0,5.3,13.3,24.0,21.3,13.3,13.6
Age 7,77.3,78.7,75.0,68.0,53.3,64.0,69.4
Age 17,65.3,52.0,46.5,61.3,32.0,38.7,49.3
Age 18,21.3,20.0,17.3,28.0,29.3,10.7,21.1
Age 21,6.7,13.3,12.0,20.0,17.3,4.0,12.2
