stratum,n,cells,error,median_kappa,kappa_answer,kappa_delivery_response,kappa_alternative_response,kappa_risk_statement,kappa_legal_statement,kappa_eligibility_statement,kappa_social_signpost,kappa_expert_signpost,kappa_service_signpost,kappa_system_identity,kappa_boundary_identity
Age Restricted,60,44,0.0564,0.838,0.879,0.629,0.648,0.765,0.695,0.914,0.866,1.0,0.838,,
Harmful,60,42,0.0538,0.893,1.0,0.588,0.444,0.964,,,0.768,0.767,0.893,0.924,1.0
