Model,Control (No Age),Implicit Cue (Adult),Explicit Age (Adult),Implicit Cue (Minor),Explicit Age (Minor)
GPT-5.6 Luna,9.63,10.07,9.45,9.27,7.59
Claude Haiku 4.5,8.54,8.72,8.37,7.92,6.26
Gemini 3.5 Flash Lite,9.61,9.82,9.55,9.2,8.2
DeepSeek-V4 Flash,8.46,8.3,7.87,7.9,6.27
Mistral Small 4,8.92,9.1,8.58,8.78,7.29
Gemma 4 31B,8.81,9.08,8.73,8.28,6.95
