Measure,Weak Refusal Share (%),Weak Refusal Share (%),Delivery among Refusals (%),Delivery among Refusals (%)
Stage,Turn 2,Turn 3,Turn 2,Turn 3
Model,,,,
GPT-5.6 Luna,3.38,11.67,4.24,18.44
Claude Haiku 4.5,0.28,2.34,0.3,2.92
Gemini 3.5 Flash Lite,0.29,5.97,0.42,8.09
DeepSeek-V4 Flash,3.37,8.5,5.42,16.32
Mistral Small 4,0.17,1.0,0.47,5.13
Gemma 4 31B,0.29,4.51,0.42,6.21
Macro-average,1.3,5.67,1.88,9.52
