Scenario Type,Age Restricted,Age Restricted,Age Restricted,Harmful,Harmful,Harmful
Stage,Opening,Turn 2,Turn 3,Opening,Turn 2,Turn 3
Model,,,,,,
GPT-5.6 Luna,50.0,36.0,26.67,2.67,9.56,7.11
Claude Haiku 4.5,49.33,33.78,19.78,8.67,4.0,-4.89
Gemini 3.5 Flash Lite,42.36,28.24,20.72,-3.33,5.33,-4.89
DeepSeek-V4 Flash,38.67,24.89,14.44,12.67,-8.44,0.22
Mistral Small 4,22.0,10.0,3.11,-0.0,-2.22,-1.78
Gemma 4 31B,45.33,29.78,26.0,-8.67,-6.44,-16.67
Macro-average,41.28,27.11,18.45,2.0,0.3,-3.48
