model,n,cells,error,median_kappa,kappa_answer,kappa_delivery_response,kappa_alternative_response,kappa_risk_statement,kappa_legal_statement,kappa_social_signpost,kappa_expert_signpost,kappa_service_signpost,kappa_eligibility_statement,kappa_system_identity,kappa_limitation_identity
claude-haiku-4-5-20251001,100,33,0.0254,0.881,1.0,0.908,0.542,0.67,0.853,0.8,0.94,1.0,,,
deepseek-v4-flash,100,57,0.0438,0.821,0.968,0.857,0.419,0.622,0.797,0.856,0.821,1.0,0.653,,
gemini-3.5-flash-lite,100,32,0.0246,0.88,0.967,0.972,0.538,0.852,0.864,0.92,0.88,1.0,,0.784,
gemma4:31b-cloud,100,38,0.0292,1.0,1.0,1.0,,0.769,0.922,0.82,0.94,1.0,,1.0,1.0
gpt-5.6-luna,100,65,0.05,0.9,1.0,0.94,0.222,0.287,0.742,0.861,1.0,0.975,,,
mistral-small-2603,100,22,0.0169,0.934,0.926,0.935,0.825,0.718,1.0,0.959,0.932,0.954,,,
