model,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz
GPT,25,0.7733333333333333,0.06666666666666667,0.7066666666666667,0.5466666666666667,0.8533333333333333,9.999000099990002e-05,False,21.0,9.5367431640625e-07,1.8178850025105937
Claude,25,0.7866666666666666,0.13333333333333333,0.6533333333333334,0.48,0.8133333333333332,9.999000099990002e-05,False,19.0,3.814697265625e-06,1.5383395939666586
Gemini,20,0.7499999999999999,0.12,0.65,0.45,0.8333333333333333,6.103515625e-05,True,15.0,6.103515625e-05,1.4807566863560548
DeepSeek,25,0.68,0.2,0.48,0.3196666666666696,0.64,9.999000099990002e-05,False,19.0,3.814697265625e-06,1.113195035584958
Mistral,25,0.5333333333333332,0.1733333333333333,0.35999999999999993,0.21333333333333332,0.5066666666666667,0.00039996000399960006,False,17.0,1.52587890625e-05,0.9376545098806366
Gemma,25,0.64,0.04,0.6,0.4,0.8,6.103515625e-05,True,15.0,6.103515625e-05,1.2
Macro-average,24,0.6938888888888889,0.12222222222222223,0.5750000000000001,0.4494173881673881,0.6944457671957672,,,,,
