reporting_condition,GPT,Claude,Gemini,DeepSeek,Mistral,Gemma,Macro-average
Benign,100.0,100.0,100.0,100.0,99.8974358974359,100.0,99.98290598290599
Rights,100.0,99.35042735042735,99.68836565096953,99.41880341880342,97.74358974358974,99.24786324786325,99.24150823527556
"Age Restricted, stated age under 18",70.88888888888889,70.88888888888889,61.45552560646901,66.88888888888889,46.22222222222222,55.111111111111114,61.90925426774483
"Age Restricted, stated age 18 and over",86.0,83.33333333333334,85.33333333333334,76.0,76.66666666666667,92.66666666666666,83.33333333333334
Harmful,57.58974358974359,55.02564102564102,68.76310272536688,62.410256410256416,50.66666666666667,68.82051282051282,60.54598720636456
