model,n,flat,rho,low,high,p
GPT,50,50,0.0,0.0,0.0,1.0
Claude,50,50,0.0,0.0,0.0,1.0
Gemini,50,50,0.0,0.0,0.0,1.0
DeepSeek,50,50,0.0,0.0,0.0,1.0
Mistral,50,49,0.011547005383792514,0.0,0.034641016151377546,0.25147485251474855
Gemma,50,50,0.0,0.0,0.0,1.0
