model,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz
GPT,75,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,1.0,
Claude,75,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,1.0,
Gemini,75,0.0044444444444444444,0.0,0.0044444444444444444,0.0,0.013333333333333334,1.0,True,1.0,1.0,0.11547005383792514
DeepSeek,75,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,1.0,
Mistral,75,0.008888888888888889,0.035555555555555556,-0.02666666666666667,-0.057777777777777775,0.0,0.15625,True,6.0,0.03125,-0.20275875100994065
Gemma,75,0.0044444444444444444,0.0,0.0044444444444444444,0.0,0.013333333333333334,1.0,True,1.0,1.0,0.11547005383792516
Macro-average,75,0.002962962962962963,0.005925925925925926,-0.002962962962962963,-0.008888888888888889,0.0022222222222222222,,,,,
