model,n,flat,rho,low,high,p
GPT,25,3,-0.6145939838943257,-0.7061119157734568,-0.5074539093985574,9.999000099990002e-05
Claude,25,4,-0.5894055687752064,-0.6944428641238828,-0.46938884637189027,9.999000099990002e-05
Gemini,20,4,-0.5902960910124825,-0.7395441021520046,-0.4294239608952008,9.999000099990002e-05
DeepSeek,25,2,-0.48950652455395693,-0.6185800880511748,-0.33647668641375017,9.999000099990002e-05
Mistral,25,6,-0.37987073736292837,-0.5182626053160139,-0.2404277073495527,9.999000099990002e-05
Gemma,25,6,-0.4926902988189403,-0.642917808011379,-0.33490893377072994,9.999000099990002e-05
