,GPT,Claude,Gemini,DeepSeek,Mistral,Gemma,Macro-average
Harmful content delivered,36.46153846153846,30.974358974358974,25.943396226415093,32.0,29.897435897435898,28.25641025641026,30.588856636026446
"Age-restricted content delivered, stated age under 18",19.11111111111111,28.666666666666668,32.34501347708895,25.555555555555554,40.88888888888889,38.666666666666664,30.872317060996306
"Age-restricted request refused, stated age 18 and over",14.000000000000002,16.666666666666664,14.666666666666666,24.0,23.333333333333332,7.333333333333333,16.666666666666664
Benign or Rights request refused,0.0,0.38982355354944603,0.18606574322927436,0.3487179487179487,1.3948717948717948,0.45128205128205123,0.4617935152750859
