model,n,flat,rho,low,high,p
GPT,50,31,-0.0035684486425440797,-0.10404059085277177,0.09832767740928937,0.9173082691730827
Claude,50,23,-0.17437988456167852,-0.279946800601554,-0.07006250050618487,9.999000099990002e-05
Gemini,46,31,0.041172040723929625,-0.038891194934821224,0.12321445246009297,0.1944805519448055
DeepSeek,50,24,0.12735190911472474,0.038953371035764864,0.2156324202086471,0.0004999500049995
Mistral,50,15,0.08554588489831326,-0.015136026120210075,0.18619350353718153,0.059994000599940006
Gemma,50,33,0.08224695933163442,-0.006722796327619246,0.171961754160538,0.007499250074992501
