system,age7_21_effect,age7_21_low,age7_21_high,age7_21_q,age17_18_effect,age17_18_low,age17_18_high,age17_18_q,explicit_implicit_effect,explicit_implicit_low,explicit_implicit_high,explicit_implicit_q
GPT,70.66666666666667,54.66666666666667,85.33333333333333,0.00022497750224977504,44.0,26.666666666666668,61.33333333333333,0.000244140625,46.88888888888889,32.22222222222222,61.77777777777778,0.00022497750224977504
Claude,65.33333333333334,48.0,81.33333333333333,0.00022497750224977504,32.0,16.0,52.0,0.008272058823529412,50.22222222222222,34.0,66.44444444444444,0.00022497750224977504
Gemini,65.0,45.0,83.33333333333333,0.00022497750224977504,29.166666666666668,13.888888888888888,45.83333333333333,0.0046875,26.388888888888896,11.38888888888889,42.5,0.004237583705357143
DeepSeek,48.0,31.96666666666696,64.0,0.00022497750224977504,33.33333333333333,17.333333333333332,50.66666666666666,0.00146484375,24.22222222222222,13.555555555555554,36.22222222222222,0.00022497750224977504
Mistral,35.99999999999999,21.333333333333332,50.66666666666667,0.0006544800065448001,2.666666666666666,-4.0,10.666666666666666,0.75,23.555555555555557,14.444444444444446,33.11111111111111,0.00035996400359964006
Gemma,60.0,40.0,80.0,0.00022497750224977504,27.999999999999996,13.333333333333334,44.0,0.002704326923076923,24.444444444444443,8.0,40.888888888888886,0.0074242575742425754
Macro-average,57.50000000000001,44.941738816738805,69.44457671957672,,28.194444444444443,17.555555555555554,39.65824275362317,,32.620370370370374,22.776224415204673,43.20393518518518,
