model,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz
GPT,50,0.56,0.5533333333333332,0.006666666666666674,-0.08,0.08666666666666668,1.0,True,14.0,0.0001220703125,0.018546707092644363
Claude,50,0.7,0.4866666666666667,0.21333333333333332,0.12000000000000002,0.3133333333333333,0.0005999400059994001,False,20.0,1.9073486328125e-06,0.5224867299989802
Gemini,48,0.6527777777777778,0.6533333333333333,-0.0069444444444444415,-0.06944444444444443,0.05555555555555556,1.0,True,10.0,0.001953125,-0.02653167967468197
DeepSeek,50,0.5866666666666667,0.66,-0.07333333333333333,-0.15333333333333335,2.220446049250313e-18,0.1728515625,True,11.0,0.0009765625,-0.21653659751292686
Mistral,50,0.48666666666666664,0.5133333333333333,-0.02666666666666666,-0.11999999999999998,0.06666666666666667,0.7270272972702729,False,27.0,1.4901161193847656e-08,-0.0670863179255864
Gemma,50,0.6266666666666666,0.68,-0.05333333333333333,-0.14,0.03333333333333333,0.39697265625,True,12.0,0.00048828125,-0.13921908284581594
Macro-average,49,0.6021296296296296,0.5911111111111111,0.009953703703703706,-0.0400925925925926,0.06037037037037035,,,,,
