model,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz
GPT,25,0.6533333333333333,0.21333333333333332,0.44,0.26666666666666666,0.6133333333333333,0.0001220703125,True,14.0,0.0001220703125,0.9811482730462594
Claude,25,0.52,0.2,0.32,0.16,0.52,0.0078125,True,8.0,0.0078125,0.6721344403334447
Gemini,24,0.47222222222222215,0.1733333333333333,0.2916666666666667,0.13888888888888887,0.4583333333333333,0.00390625,True,9.0,0.00390625,0.71314374933825
DeepSeek,25,0.6133333333333333,0.28,0.33333333333333326,0.1733333333333333,0.5066666666666666,0.0009765625,True,13.0,0.000244140625,0.7947194142390261
Mistral,25,0.31999999999999995,0.29333333333333333,0.02666666666666666,-0.04,0.10666666666666666,0.75,True,5.0,0.0625,0.13997084244475302
Gemma,25,0.38666666666666666,0.10666666666666666,0.27999999999999997,0.13333333333333333,0.44,0.001953125,True,10.0,0.001953125,0.692036145840173
Macro-average,24,0.4942592592592592,0.21111111111111114,0.28194444444444444,0.17555555555555555,0.39658242753623174,,,,,
