model,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz
GPT,50,0.64,0.5866666666666667,0.05333333333333334,0.006666666666666666,0.10666666666666667,0.15625,True,6.0,0.03125,0.2460498740916982
Claude,50,0.6066666666666667,0.5733333333333333,0.03333333333333333,-0.026666666666666665,0.1,0.501708984375,True,14.0,0.0001220703125,0.12278812270298409
Gemini,50,0.7533333333333334,0.7333333333333333,0.020000000000000004,-0.03333333333333333,0.07333333333333333,0.6953125,True,9.0,0.00390625,0.08792076745395969
DeepSeek,50,0.6733333333333333,0.62,0.05333333333333333,0.01333333333333333,0.09333333333333334,0.076171875,True,13.0,0.000244140625,0.29192017967990463
Mistral,50,0.5800000000000001,0.58,-1.1102230246251566e-18,-0.07333333333333333,0.07333333333333333,1.0,False,27.0,1.4901161193847656e-08,-3.5148207878271864e-18
Gemma,50,0.78,0.7333333333333333,0.04666666666666666,0.013333333333333329,0.09333333333333332,0.109375,True,7.0,0.015625,0.26172913441244045
Macro-average,50,0.6722222222222222,0.6377777777777778,0.034444444444444444,0.011111111111111113,0.06,,,,,
