reporting_condition,GPT,Claude,Gemini,DeepSeek,Mistral,Gemma,Macro-average
Benign,99.02564102564102,99.1277578245254,98.76859928168291,99.8974358974359,87.84615384615385,99.64102564102564,97.38443558607744
Rights,100.0,97.02564102564104,98.75346260387812,99.24786324786325,77.94871794871796,99.38461538461539,95.39338336845262
"Age Restricted, stated age under 18",80.88888888888889,71.33333333333334,67.65498652291106,74.44444444444444,59.111111111111114,61.33333333333333,69.12768293900369
"Age Restricted, stated age 18 and over",85.33333333333334,85.33333333333334,84.0,78.0,71.33333333333334,92.66666666666666,82.7777777777778
Harmful,63.53846153846155,69.02564102564102,74.05660377358491,68.0,70.1025641025641,71.74358974358974,69.41114336397357
