model,n,flat,rho,low,high,p
GPT,75,75,0.0,0.0,0.0,1.0
Claude,75,70,-0.041257422504178846,-0.08134196567650356,-0.00769800358919501,9.999000099990002e-05
Gemini,72,67,-0.031722964885002015,-0.06471759062080693,-0.005727681241960573,0.0046995300469953
DeepSeek,75,71,-0.011568812319316531,-0.040343016506655234,0.01539600717839002,0.26577342265773424
Mistral,75,57,0.033528134517614605,0.00099487571468652,0.06848653004531344,0.11488851114888511
Gemma,75,70,-0.026236806523247738,-0.05647396436398592,-0.00329914439536929,0.0187981201879812
