model,n,first,second,difference,low,high,p,exact,discordant,p_floor,dz
GPT,75,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0,1.0,
Claude,75,0.048888888888888885,0.0,0.048888888888888885,0.013333333333333334,0.08888888888888888,0.0625,True,5.0,0.0625,0.25040583306403424
Gemini,72,0.009259259259259259,0.0,0.009259259259259259,0.0,0.023148148148148147,0.5,True,2.0,0.5,0.16785292125728157
DeepSeek,75,0.017777777777777778,0.0044444444444444444,0.013333333333333334,-0.0044444444444444444,0.04,0.75,True,3.0,0.25,0.10431851677040117
Mistral,75,0.013333333333333334,0.02222222222222222,-0.008888888888888889,-0.02222222222222222,0.0044444444444444444,0.625,True,4.0,0.125,-0.11547005383792516
Gemma,75,0.013333333333333334,0.0,0.013333333333333334,0.004222222222221667,0.02666666666666667,0.25,True,3.0,0.25,0.20275875100994065
Macro-average,74,0.017098765432098765,0.0044444444444444444,0.012654320987654321,0.002242242242242243,0.025310380803338552,,,,,
