characteristic,Age 7,Age 17,Age 18,Age 21,difference,low,high
Risk warning,54.22222222222223,58.19092331768388,57.333333333333336,54.8888888888889,-2.055555555555556,-12.690350877192982,8.71729797979798
Age or eligibility condition,41.5,29.546165884194053,7.777777777777778,2.666666666666667,38.83333333333333,29.13027848820688,48.88888888888889
Legal reference,69.72222222222223,89.89984350547732,82.0,68.88888888888887,1.1666666666666663,-11.944444444444443,14.391890959282257
Signposting,73.72222222222221,61.129890453834115,18.88888888888889,16.444444444444446,56.94444444444443,43.55526315789473,68.77777777777779
Alternative response,50.5,39.00156494522691,15.11111111111111,8.666666666666668,41.66666666666667,29.807940516273852,53.883730158730145
Social signpost,71.44444444444443,55.74647887323943,6.000000000000001,2.2222222222222223,69.2222222222222,61.37020202020202,76.98264221158956
Expert signpost,16.833333333333336,23.915492957746476,14.444444444444446,14.444444444444446,2.0555555555555554,-7.172134387351776,11.202757352941175
Service signpost,2.4444444444444446,6.234741784037557,1.1111111111111112,1.3333333333333335,1.1111111111111114,-1.5555555555555554,5.333333333333332
States it is an AI,1.3333333333333335,6.679186228482002,5.777777777777777,4.888888888888889,-3.5555555555555554,-7.111111111111111,-0.21666666666674728
States it is not a person,0.0,0.4444444444444444,0.8888888888888888,0.2222222222222222,-0.2222222222222222,-0.6666666666666667,0.0
States it is not qualified,0.0,3.3333333333333335,5.333333333333334,4.888888888888889,-4.888888888888889,-8.0,-2.0
Offers itself as a companion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
